first_name,salary,sex,age,dob,country,job,review,sentiment,longitude,latitude
Miguel,196690,F,73,1947-09-24,Belize,Waste management officer,Now near last above control lead air. Body sometimes since discuss.,Negative,126.77121,41.064456
Christopher,67519,F,25,1995-10-08,Belize,"Physicist, medical",Technology may throw baby process. Matter long hand home arm quality crime.,Neutral,-54.72775,47.126815
Michael,169812,F,39,1981-08-28,Belize,Theatre manager,Key the both population now organization glass. Fire out sea large degree grow.,Negative,-8.135693,-73.515151
Sara,154713,F,52,1968-02-04,Belize,"Programmer, applications",Easy trial piece this head until role. Often most stop the.,Negative,-165.292587,-29.1692125
James,65159,F,5,2015-12-01,Tajikistan,Hydrogeologist,Newspaper need certainly item gun two star respond. City adult stage college.,Negative,-136.885382,70.5054735
Larry,212956,F,89,1931-06-25,Tajikistan,"Physicist, medical",Single into require music. Ahead school prevent travel air buy record result.,Neutral,103.720111,10.1334975
Tina,209263,M,6,2014-04-29,Fiji,"Engineer, petroleum",Mission home wonder commercial budget. Big cover here start scene.,Negative,-63.250109,-84.8208865
Luke,49945,M,31,1989-08-05,Lesotho,Theatre manager,Energy human agreement along store.,Negative,-25.085479,-27.115272
Samuel,156267,M,87,1933-06-11,Belize,Lexicographer,Reason keep each offer suggest I. Human lot day word budget too upon.,Positive,-177.330185,-82.9727745
Christine,130898,M,11,2009-01-03,Gibraltar,Catering manager,Speech head break. Year draw see. War reduce black system region.,Neutral,65.640331,-80.912048
Christopher,107972,M,110,1910-04-21,Belize,"Programmer, applications",Thought understand west develop. Leader hope hot oil art interesting exist in.,Positive,-84.252541,-62.751346
Pamela,96606,M,100,1920-12-22,Lesotho,Catering manager,Occur evidence eat discuss. Respond apply mission former car push challenge.,Positive,92.350658,82.5432065
John,165481,F,70,1950-05-06,Fiji,"Therapist, art",Gun speech any. Particularly ago example follow. Fast act analysis least past.,Negative,-28.193064,1.6700715
Paul,227705,F,37,1983-01-10,Fiji,"Physicist, medical",Alone such look class from point. Local last front population life.,Neutral,-90.421285,72.211474
Randy,213409,M,38,1982-03-30,Tajikistan,Theatre manager,Year Mrs who three place high in charge.,Negative,-83.217689,-25.0046605
John,130344,F,102,1918-11-24,Lesotho,Hydrogeologist,Message society impact choose financial paper generation.,Neutral,-143.124624,89.9289015
Michele,191576,M,55,1965-06-23,Lesotho,"Therapist, art",Ok ability science analysis. Also wish avoid save.,Negative,54.43939,-55.445973
David,205785,F,107,1913-07-06,Fiji,Catering manager,Avoid step something require improve three. Responsibility foot our.,Positive,-67.005869,11.995181
Billy,107539,F,35,1985-01-20,Tajikistan,Hydrogeologist,Drug contain choose star create remember stuff floor.,Neutral,-10.643389,-66.742508
Nicholas,185643,M,32,1988-03-09,Gibraltar,Lexicographer,Lawyer chair issue success dark prove mention matter. Little soldier party.,Positive,-140.951358,16.3054365
Anthony,240119,F,60,1960-03-10,Tajikistan,"Physicist, medical",Space exist line until include culture strategy. Focus knowledge new student.,Negative,-142.749122,66.564131
Robin,82658,M,31,1989-11-13,Fiji,"Programmer, applications",Outside town station former crime. Phone across size easy me section ten.,Neutral,-95.98293,-41.359623
Brenda,158124,M,93,1927-03-25,Fiji,Waste management officer,Four wear million citizen whose space I source.,Negative,169.113218,-32.6567085
Sara,229594,M,40,1980-08-02,Belize,Hydrogeologist,Practice east race of believe feel product. Wife all member beat.,Positive,178.074167,77.39951
George,160331,M,59,1961-07-23,Gibraltar,Hydrogeologist,Prove expert mission market stage laugh area. Much interview article fight.,Neutral,25.427449,-46.610224
Michael,249580,F,101,1919-03-28,Belize,"Programmer, applications",Place total enough clearly. Director this early military out although.,Neutral,125.15501,24.261545
John,41593,F,44,1976-05-13,Fiji,"Physicist, medical",Program television raise military in option list.,Neutral,-157.288159,-29.617948
Nicholas,218552,F,71,1949-02-23,Gibraltar,"Engineer, petroleum",Himself method wrong hard let short others.,Negative,10.558348,-67.987382
Brittney,58593,M,24,1996-01-06,Tajikistan,Hydrogeologist,Despite more position should sea. Section meeting beyond.,Positive,22.230545,87.456025
Monica,74765,M,105,1915-01-12,Belize,Hydrogeologist,Animal simple year hit member support bag fund.,Negative,106.912291,69.879808
Brianna,78084,M,103,1917-05-01,Tajikistan,"Physicist, medical",Structure mean purpose performance. And week everyone think kitchen likely.,Neutral,165.649511,-4.2063625
Sydney,151234,M,42,1978-01-09,Tajikistan,Hydrogeologist,Story situation blue history life if many could.,Negative,-53.716017,-29.157625
Jerry,98556,M,65,1955-03-20,Gibraltar,Catering manager,Turn draw within dog cost reason everyone.,Neutral,115.396002,39.8158025
Robert,136144,M,11,2009-06-06,Gibraltar,"Programmer, applications",Child skin hear head citizen. Population perform already paper.,Neutral,-119.270822,-28.905005
Jason,67349,M,51,1969-05-11,Belize,Theatre manager,Her free under spring participant finish.,Positive,87.634155,6.571586
Brittany,158200,M,22,1998-10-27,Tajikistan,"Programmer, applications",Professor girl take million.,Positive,54.967574,-3.8396715
Randy,114774,M,47,1973-06-28,Fiji,"Programmer, applications",Ago start describe. Call prepare common reach.,Negative,136.731307,-15.3590125
John,155470,M,59,1961-06-16,Tajikistan,"Physicist, medical",Piece sign life call. Television chance nearly certain long husband.,Negative,-170.057824,-44.9746465
Judy,87861,M,27,1993-03-04,Fiji,Hydrogeologist,Traditional big after hair now smile treatment.,Positive,-20.546907,74.329573
Nicole,123090,M,77,1943-06-23,Belize,Hydrogeologist,Energy site baby executive chance. Quickly a wonder difference table.,Negative,-161.640779,39.28529
Renee,115526,M,90,1930-06-24,Fiji,Theatre manager,Bar over food country guy sound answer. Quite evening left military trial fire.,Negative,120.413868,-45.759903
Shawn,35532,F,63,1957-11-02,Tajikistan,"Engineer, petroleum",Rate same success because arm. Argue want lay generation.,Neutral,-93.379175,61.9048315
Miranda,201098,M,97,1923-07-06,Belize,Waste management officer,These record father as. Seat source man man fact word. End cause again health.,Negative,69.515658,-38.455018
Janet,189339,M,29,1991-12-23,Fiji,"Programmer, applications",Run order enter. Effect both happen participant where.,Positive,-136.851499,-73.6335135
Michael,87634,F,64,1956-08-05,Tajikistan,"Programmer, applications",Continue tree back service. Face actually understand light range seek.,Neutral,156.608927,77.3585365
Brenda,160840,M,97,1923-09-28,Gibraltar,Hydrogeologist,Southern travel week son stand who nothing. Wife property series lot.,Positive,-155.302764,39.9601635
Christopher,208319,M,53,1967-05-09,Lesotho,Theatre manager,Trade by among safe financial model board around.,Positive,60.960461,30.0460795
Lori,229166,M,87,1933-10-05,Gibraltar,Lexicographer,Major college country class beautiful identify. Talk resource serve sound gun.,Positive,-92.036927,-46.339396
Destiny,67455,F,97,1923-10-23,Gibraltar,Lexicographer,Must forget world finally add page.,Neutral,54.298783,-13.5530495
Jamie,210005,M,87,1933-06-09,Gibraltar,Hydrogeologist,Look stop item rock receive fact treat. Myself bring yeah house.,Positive,-54.142137,28.9933585
Nancy,115104,F,25,1995-10-12,Belize,Waste management officer,Watch book attack seem free list kid. Why at type lose impact civil own.,Positive,95.270055,81.710022
Donna,43526,F,37,1983-06-16,Lesotho,"Physicist, medical",Almost relate experience trip finish. Born dinner I box get partner.,Negative,177.092747,41.896819
Isaac,65147,M,91,1929-11-11,Lesotho,Waste management officer,Play list window fish meeting. Produce apply town community idea.,Positive,-172.036602,-30.8216675
Toni,87462,F,15,2005-07-29,Fiji,"Therapist, art",Identify star important treat. Food see board power. Head cause rise ahead.,Positive,-123.194173,-18.5592535
Lucas,202148,F,12,2008-10-24,Gibraltar,"Programmer, applications",Central spring animal able forward professional. News while option result blue.,Negative,-3.690012,-44.6859365
Jennifer,40502,F,68,1952-09-06,Fiji,Catering manager,Off instead help. Where clear whom stop. Head lot matter always.,Neutral,100.57716,-35.6236845
Edward,155024,M,27,1993-07-05,Fiji,Waste management officer,Them occur mind idea about wear against west.,Negative,-65.706252,33.010582
William,96521,M,2,2018-08-16,Gibraltar,"Programmer, applications",Just design main week story reason. Back them draw question team attack see.,Positive,77.532046,56.5769555
Kimberly,38615,M,113,1907-03-19,Fiji,Catering manager,Seek difference option majority yard service course movement.,Positive,43.53149,-71.337046
Oscar,53597,F,36,1984-02-04,Tajikistan,Theatre manager,Really statement while go. Along and most family girl listen already.,Positive,147.79171,14.422019
Johnny,207724,F,64,1956-09-13,Lesotho,Waste management officer,Trial usually citizen total eight.,Positive,-162.654386,-27.186565
Christy,174279,M,58,1962-01-15,Fiji,"Physicist, medical",Themselves network improve book head himself debate various.,Neutral,48.459711,-34.2535945
Billy,119037,M,104,1916-10-22,Fiji,Theatre manager,Or option experience price example most give major.,Positive,-126.746404,-74.526433
Yolanda,52334,F,80,1940-03-05,Fiji,Hydrogeologist,Work away fly. Ask site operation become about. Direction first blood eye.,Positive,-23.392811,67.845406
Darryl,124637,M,5,2015-01-30,Gibraltar,Hydrogeologist,Theory event care show around. We market who provide tax sure Congress.,Positive,70.27895,80.3607635
Michael,166397,M,16,2004-01-26,Gibraltar,Theatre manager,Resource inside personal method authority.,Positive,168.487989,42.914535
Spencer,241028,F,111,1909-08-28,Fiji,Waste management officer,Bad week serious institution speech always. Strong board oil also.,Neutral,50.178508,58.766855
Rebecca,30537,M,114,1906-12-22,Tajikistan,"Therapist, art",Feeling thousand according instead attention how.,Positive,119.947298,-35.729002
Amy,47462,M,56,1964-08-15,Tajikistan,"Therapist, art",Show perhaps century special. Throughout seat teach and book.,Positive,-4.857048,47.154553
David,122159,F,54,1966-07-10,Fiji,"Engineer, petroleum",Baby back weight company west adult. Police laugh good learn.,Neutral,100.384448,72.5104365
Jared,209771,F,105,1915-11-27,Belize,"Therapist, art",Family yes sit test. Especially Republican inside.,Negative,-23.456865,82.5038245
Timothy,59219,M,50,1970-02-24,Lesotho,Waste management officer,Herself rather quite series travel. Near and hair answer phone.,Positive,70.986594,-62.215419
Melissa,202805,F,84,1936-09-16,Tajikistan,"Engineer, petroleum",Star garden experience if total. Hour help keep doctor assume sister.,Positive,9.374563,82.199953
Luis,248048,M,78,1942-01-05,Gibraltar,Hydrogeologist,Tend push agent space. Should blue impact class lead include.,Positive,-133.2852,-13.8628085
Kevin,181035,M,58,1962-11-02,Belize,Lexicographer,Attention message word arm discover place hot. Music land Democrat will.,Positive,118.472265,0.9089285
Lori,202829,M,25,1995-08-02,Lesotho,Waste management officer,Even certain tax election individual.,Negative,-104.856217,75.3487375
Kristin,141769,M,9,2011-09-17,Lesotho,"Physicist, medical",Short Congress ground career officer most on rich.,Positive,78.865953,0.060462
Danielle,76650,M,48,1972-08-12,Lesotho,"Programmer, applications",Hospital long measure develop agent. Small down fly participant early.,Positive,17.744703,40.5076485
Christopher,121633,M,40,1980-12-26,Gibraltar,"Programmer, applications",Minute common artist help necessary sometimes whether girl.,Negative,-123.193293,81.8234165
Mathew,86022,F,102,1918-05-15,Tajikistan,"Therapist, art",Management stop world former. Approach recently your group car assume among.,Positive,65.594306,-56.0009745
Courtney,162375,M,102,1918-05-11,Lesotho,Theatre manager,Population head the shoulder before each itself. Indicate get then data.,Negative,56.931062,78.7657855
Joyce,248684,M,78,1942-06-20,Lesotho,Lexicographer,Race such hard need read to wish class. Big common remain increase develop.,Negative,-28.988527,-22.0612875
Chad,176562,F,58,1962-12-03,Gibraltar,"Therapist, art",Huge chance girl avoid list card continue.,Negative,-172.609899,16.2477645
Kimberly,149950,F,109,1911-09-17,Lesotho,Hydrogeologist,Need live use shoulder study hair between parent.,Neutral,-106.282113,-41.2625755
Adam,166839,F,21,1999-05-05,Belize,Theatre manager,Culture reduce always event which business their each.,Negative,-71.23111,31.4676235
Steven,48377,M,113,1907-11-05,Belize,Theatre manager,Whom bed right finish vote. Various miss seat reduce money adult politics.,Neutral,-166.233035,27.1949485
Emily,208283,F,44,1976-03-10,Fiji,"Physicist, medical",Something loss though rather best dark star.,Negative,51.275589,51.7165005
Maureen,192415,F,113,1907-08-03,Belize,Waste management officer,Popular itself green spring everyone main.,Neutral,-55.770992,-17.492244
Nathan,126660,F,18,2002-10-13,Gibraltar,Lexicographer,Note whom recently share card. Traditional travel skin.,Neutral,-56.512051,-49.320813
Dylan,160538,F,24,1996-10-21,Lesotho,"Programmer, applications",Large thousand possible simply month.,Positive,-89.882339,-44.2513415
William,185576,F,53,1967-08-01,Lesotho,Theatre manager,Partner suggest true sell else standard position successful.,Negative,53.932624,-15.013563
Kelly,194935,M,103,1917-02-19,Belize,"Physicist, medical",Amount realize husband. Several perform pattern degree.,Neutral,86.332303,12.087458
Benjamin,186086,F,102,1918-04-18,Gibraltar,Theatre manager,Good many same real. Production particular lose recognize newspaper number.,Neutral,71.648281,-15.115534
Thomas,138281,F,26,1994-07-31,Belize,"Physicist, medical",Source television how wear. Laugh by quite. Fast us girl skin short property.,Neutral,-84.768818,-58.71456
Curtis,242055,M,42,1978-11-22,Lesotho,"Engineer, petroleum",Give write usually company. Father score however present.,Negative,134.433972,-1.0016155
Renee,192954,F,82,1938-04-25,Lesotho,Lexicographer,Experience answer these member try interesting professor.,Negative,-103.292741,-5.0665785
Mark,192594,F,29,1991-06-22,Lesotho,"Engineer, petroleum",Billion culture us drug although. Character cover before card.,Negative,-32.527171,-65.241676
Kenneth,186291,F,78,1942-06-03,Gibraltar,"Physicist, medical",Modern couple of guy. Apply participant would risk line human.,Neutral,-71.738121,-73.417798
Connor,156632,M,53,1967-04-17,Gibraltar,"Programmer, applications",Education very remember newspaper else.,Negative,-170.089062,-75.6341985
Susan,141186,M,44,1976-05-09,Lesotho,"Physicist, medical",Beautiful resource account policy human election.,Neutral,-9.281772,-7.2957935
Ryan,104179,F,11,2009-08-07,Belize,Theatre manager,General admit national be. Too challenge growth blood wife amount fight.,Negative,15.801026,35.681963
Sarah,183509,M,68,1952-08-31,Belize,Theatre manager,Bag election significant course. Anyone clearly woman.,Negative,53.901289,-64.2586835
Rachel,212082,M,24,1996-07-16,Belize,Hydrogeologist,Method office shoulder may Mr rate boy. Indeed religious hold worry.,Neutral,-102.627492,36.841685
Melinda,115374,M,46,1974-06-02,Belize,Lexicographer,Security technology attack political bar. Consumer present meeting spring.,Positive,68.862757,-81.879533
Danielle,211244,F,112,1908-12-30,Fiji,"Engineer, petroleum",Pm agent agreement tough teach poor. Food west can.,Positive,115.105412,76.937559
Christopher,102605,M,45,1975-08-02,Gibraltar,Catering manager,Let entire understand big after response improve.,Positive,8.932008,45.1078725
Felicia,83507,F,69,1951-02-14,Belize,"Physicist, medical",Family late unit. Leave finally recognize radio friend.,Negative,1.296182,25.6309745
Kevin,45843,M,50,1970-12-02,Fiji,Hydrogeologist,Require just discover American home. Safe up floor save.,Negative,-132.372234,59.526908
Robert,136692,F,44,1976-01-26,Fiji,Hydrogeologist,Behind difficult writer government money factor management when.,Positive,-42.060823,-49.8193775
Scott,103547,M,92,1928-09-23,Gibraltar,"Programmer, applications",Finally drug more such something. View class trip.,Negative,164.873988,-86.0242675
Carolyn,83711,F,40,1980-08-14,Tajikistan,Hydrogeologist,Will ok general mission. Response tell growth another.,Positive,-124.482273,53.0612065
Michael,183849,F,7,2013-06-24,Belize,Hydrogeologist,Reveal field century agency. Apply seek firm suddenly strong research.,Positive,-33.839306,-5.144283
Jesus,76356,M,84,1936-04-16,Fiji,"Physicist, medical",Hope involve land difference grow avoid about.,Positive,29.139775,42.0325345
Cassandra,193617,M,32,1988-09-12,Belize,Catering manager,Heart wait organization happy collection anyone.,Positive,-106.919561,-86.898513
Garrett,119688,F,11,2009-03-04,Belize,Theatre manager,College take feel training forward. Rise game minute deal organization.,Negative,38.619089,3.7611585
Joseph,161555,M,102,1918-06-04,Tajikistan,"Programmer, applications",Majority me inside eye follow such. Else partner music.,Neutral,-69.100995,-0.059006
Nicholas,136552,F,83,1937-01-19,Lesotho,"Therapist, art",When federal current day message among law.,Negative,109.218918,4.0369775
Robert,212863,F,95,1925-04-13,Tajikistan,Theatre manager,Capital one agency type relationship team find.,Positive,141.78944,23.7658275
John,179321,M,72,1948-04-13,Tajikistan,"Therapist, art",Trade foreign dream pattern fast yard staff.,Positive,98.529932,47.228801
Hannah,126082,M,10,2010-01-14,Tajikistan,Catering manager,Bag market then American manager day point. Chance break over.,Neutral,-148.796596,-76.7567955
Rhonda,246919,F,52,1968-12-09,Tajikistan,"Engineer, petroleum",Ago war play state. Treat it lawyer court fly government.,Positive,-86.509393,-81.709721
Diane,48641,F,81,1939-07-19,Gibraltar,"Therapist, art",Bag through statement collection oil laugh. Forget ahead would summer.,Positive,106.376891,-76.619276
Sherry,182018,F,61,1959-11-04,Fiji,Theatre manager,Others specific day think heavy. Wife message area ahead.,Positive,-94.947897,57.28185
Jasmine,216123,F,11,2009-06-18,Fiji,Catering manager,Court present weight several.,Neutral,136.55392,53.264984
Audrey,40098,F,57,1963-01-21,Tajikistan,Theatre manager,Loss speak various no. Respond water baby analysis over the.,Positive,138.43144,42.92861
Ricky,80712,M,42,1978-01-29,Tajikistan,"Therapist, art",Defense new stock alone analysis.,Neutral,-109.449684,31.98162
Alicia,55561,M,103,1917-07-29,Belize,"Programmer, applications",Personal my government street strong less. Fear blue partner north become.,Neutral,-75.139612,-29.2717645
Jennifer,134935,M,54,1966-03-12,Belize,Hydrogeologist,Represent collection town general common year find worry.,Neutral,151.146079,88.9447295
Nicole,186893,M,64,1956-03-13,Lesotho,Catering manager,Player garden blood also address state leave.,Positive,124.456268,-18.7562415
Vanessa,83393,F,107,1913-09-16,Gibraltar,"Engineer, petroleum",Collection parent story red. Physical actually agency husband world.,Positive,-102.759341,-43.557193
Sarah,78623,M,70,1950-12-26,Lesotho,"Engineer, petroleum",Finally will executive become now event. High we sometimes note something.,Positive,-152.495102,-83.8729185
Jenna,89306,F,37,1983-11-30,Gibraltar,"Therapist, art",Move less country hit fill. Alone maybe because fact. Better factor full white.,Neutral,-143.948384,38.348781
Christy,172203,M,16,2004-04-13,Belize,"Therapist, art",General former share base person keep its. Board camera myself student.,Negative,69.265792,-88.330497
Michelle,69150,F,73,1947-12-21,Lesotho,"Programmer, applications",Yourself others nearly. End sense score put door. Ground as life heart.,Neutral,57.584664,68.709563
Laura,221525,F,26,1994-10-26,Lesotho,Theatre manager,Oil trade can great protect. Always turn on able tree happen success authority.,Neutral,-77.429921,20.303146
Mary,137523,F,115,1905-03-24,Gibraltar,"Therapist, art",Likely media standard traditional. Your stuff crime exactly main.,Positive,-99.976933,22.679191
Morgan,99125,M,49,1971-09-12,Lesotho,Hydrogeologist,Lay model cover back technology study trip. Ability present until Mrs.,Negative,2.968958,42.8691485
Mark,246228,F,65,1955-12-08,Tajikistan,Catering manager,Interesting across message yet wife program test crime.,Neutral,-13.419451,20.3987505
James,56587,F,59,1961-12-06,Gibraltar,Catering manager,Tough quickly authority little begin house. Star issue pay general rise.,Negative,-39.282983,27.8965565
Courtney,86134,M,111,1909-11-23,Belize,"Programmer, applications",Cultural perform treat natural. Kid suddenly agent poor management.,Negative,5.972847,72.154294
Rachel,187907,F,64,1956-05-03,Belize,Hydrogeologist,Show act painting go game right. Radio name teacher network.,Neutral,-4.267601,19.0159505
Crystal,115076,F,81,1939-10-07,Fiji,Catering manager,Surface social process yard create ok night.,Neutral,-76.419917,59.255038
David,99160,F,83,1937-05-09,Belize,Hydrogeologist,Administration debate decide garden face movie.,Positive,-168.580927,-39.229364
Michael,113106,F,6,2014-09-13,Tajikistan,"Therapist, art",Brother nothing a guess laugh.,Negative,-174.242278,27.840016
Sharon,92396,M,36,1984-02-19,Fiji,"Physicist, medical",Sister seven buy maintain stand. Too history weight night game this include.,Negative,-10.29769,-54.5498765
Michael,247011,F,17,2003-04-06,Lesotho,"Engineer, petroleum",Nature single suddenly near. Break beautiful effort sound.,Neutral,161.352278,-70.3974425
Erica,55139,M,69,1951-12-24,Lesotho,Lexicographer,Executive easy billion position. Treatment fund happy ten my.,Neutral,19.284357,12.733972
Luke,155458,F,103,1917-06-02,Belize,Theatre manager,Room as accept game stay. Republican computer staff forget win.,Neutral,-89.508559,-25.5788075
William,122830,F,88,1932-07-20,Lesotho,Catering manager,Item many color present national. Center along whose doctor material shoulder.,Neutral,-131.054603,-66.3295285
Nicole,220299,M,33,1987-12-10,Fiji,Waste management officer,Evening treatment picture nearly.,Negative,71.214868,1.843923
Angela,193482,M,21,1999-08-06,Tajikistan,Hydrogeologist,This ready career. Top season base say charge provide contain item.,Neutral,156.022819,77.857552
Justin,134572,M,83,1937-03-09,Tajikistan,"Programmer, applications",Meet health opportunity movement blue send. Husband cut director compare owner.,Neutral,166.313908,-14.9584175
Ariana,115429,M,66,1954-06-05,Lesotho,Catering manager,Share try century effect class attack newspaper.,Positive,-45.848279,43.456168
Nicholas,217752,F,46,1974-01-18,Tajikistan,"Engineer, petroleum",Week positive stock other. Property anything PM argue several here.,Positive,-12.359429,42.449419
Susan,55690,M,96,1924-09-23,Tajikistan,"Physicist, medical",Dark writer town yes much recent for.,Positive,-18.586051,-1.9609385
Mary,249854,M,62,1958-06-27,Gibraltar,Theatre manager,Heart culture against friend play. Thank interview certain group week.,Neutral,172.676038,-50.728525
Donald,88244,F,15,2005-07-08,Lesotho,"Programmer, applications",Medical entire inside write catch fish specific enjoy.,Neutral,135.572505,-52.8170725
Danielle,121304,F,8,2012-06-25,Fiji,Theatre manager,Most probably war after local those short.,Negative,-141.608378,-43.327458
Tina,125421,M,17,2003-01-10,Fiji,Waste management officer,Evening director fall condition administration blue. Best work tend base.,Neutral,165.122308,-64.2172215
Nicholas,139616,F,87,1933-11-26,Tajikistan,"Physicist, medical",Guy situation throw against care. Cause news establish lead training letter.,Negative,73.896586,44.192935
Kimberly,83317,M,71,1949-05-31,Gibraltar,"Programmer, applications",Long turn hand hot reduce music. Forward probably name attack space news clear.,Neutral,26.825753,15.358019
John,64425,F,115,1905-09-02,Tajikistan,"Physicist, medical",Conference position either pass TV occur. With successful building tell.,Negative,59.589917,-65.522821
Jonathan,164966,F,38,1982-04-28,Lesotho,Waste management officer,Thousand along measure range development happen whose.,Positive,73.867813,-86.448141
Luke,55555,F,77,1943-09-07,Lesotho,Theatre manager,A green myself recently. Set history report feeling push note since.,Positive,-122.454101,-81.9293655
Martin,43431,F,85,1935-11-19,Fiji,"Physicist, medical",Let TV street. Order finish election by appear miss professional walk.,Neutral,46.624171,85.419871
Matthew,53181,M,52,1968-05-30,Lesotho,Hydrogeologist,Among of why. Listen skin drive early reason service paper.,Negative,91.740478,69.98102
Joel,226619,F,24,1996-07-15,Belize,Waste management officer,Lead minute recognize site. Discover entire dinner sit fight.,Negative,-174.173207,-69.237471
Martin,188359,F,60,1960-08-03,Lesotho,"Therapist, art",Discussion clearly other. Parent billion dark may at future everyone.,Negative,28.698716,44.3878955
Joel,151081,M,36,1984-11-17,Fiji,"Physicist, medical",Hand particular quality carry. Mission eye remain music usually.,Negative,5.628059,69.209592
David,149445,M,3,2017-04-07,Fiji,Waste management officer,Door last thank away place section.,Neutral,-168.421324,42.935455
Dylan,217379,F,109,1911-06-24,Tajikistan,"Engineer, petroleum",Appear movie though decision present. Avoid hope ground term room PM.,Negative,-62.125576,14.736584
Jennifer,139708,F,1,2019-08-12,Fiji,Theatre manager,Reduce story couple table six low.,Neutral,-78.670819,-25.0464005
James,203490,F,112,1908-09-21,Fiji,"Programmer, applications",Moment traditional still increase worry.,Negative,77.838916,61.9718675
Stephanie,249795,F,56,1964-07-19,Belize,Theatre manager,Like there hospital course.,Neutral,-110.755239,-44.716214
Matthew,94371,F,74,1946-03-09,Belize,Catering manager,Democratic fall star artist thought discover prove surface.,Negative,-9.660109,46.783631
Sean,80219,F,46,1974-01-01,Gibraltar,"Physicist, medical",Often third inside main foreign room capital.,Positive,168.262203,5.8364885
Jody,137823,F,90,1930-12-25,Tajikistan,"Therapist, art",Anything offer rather technology oil. Product sit military value.,Negative,170.438221,-48.662121
Jared,113510,M,2,2018-03-19,Tajikistan,Theatre manager,Who put firm increase. Shoulder moment key a. Tree note product maintain.,Positive,84.633179,-53.4514965
Timothy,237563,M,69,1951-10-01,Fiji,"Therapist, art",Care food approach bar never natural business. Laugh but recently side go.,Neutral,-164.681142,35.2158385
Thomas,192999,M,89,1931-12-10,Lesotho,Waste management officer,Single glass play reality medical. Trade reality option help effect.,Neutral,-165.680146,9.839233
Michael,44771,F,34,1986-01-04,Gibraltar,Theatre manager,Matter during itself fill rule. Gun from report miss to scientist attack.,Neutral,-142.301577,-21.9699305
Kimberly,123677,M,30,1990-10-12,Fiji,Lexicographer,East throughout body hold attention expect board offer.,Negative,85.969038,-10.47052
Cory,134657,F,47,1973-06-12,Fiji,Waste management officer,Throughout can help however responsibility position.,Positive,-113.338661,26.4144095
Kimberly,240740,M,80,1940-03-20,Belize,"Engineer, petroleum",Half source though business. Kid respond forward me hold while among.,Neutral,13.870522,-73.0512205
Fred,36218,M,95,1925-09-17,Fiji,Hydrogeologist,State capital front price bad practice staff. Law score though war no class.,Negative,16.753088,-77.859621
